date|time|description|vendor|amount
2006-10-01|22:15:00|plastic wrap (bulk)|Home Depot|-45.75
2006-10-02|08:00:00|coffee & donuts|Miami Metro Cafeteria|-7.50
2006-10-03|19:45:00|boat fuel|Harbor Station 3|-89.00
2006-10-04|02:30:00|trash bags & duct tape|Walmart|-23.99
2006-10-04|09:00:00|microscope supplies|Forensics Lab|0.00
2006-10-05|18:00:00|steak dinner with Deb|Ocean Grill|-62.00
2006-10-06|00:45:00|rental van|Midnight Auto|-120.00
2006-10-07|07:30:00|gloves & bleach|Ace Hardware|-34.20
2006-10-08|14:00:00|blood spatter analysis tools|Miami Metro|0.00
2006-10-09|03:00:00|knife sharpening service|Quiet Edge|-15.00
2006-10-10|09:00:00|therapy session with Dr. Meridian|Downtown Clinic|-150.00
2006-10-11|21:10:00|gas station snacks (stakeout)|Shell|-12.50
2006-10-12|04:00:00|deep ocean fuel|Marina Fuel Co|-98.75
2006-10-13|08:00:00|DNA test processing|Miami Metro|0.00
2006-10-14|18:30:00|dinner with Rita & kids|Family Pizza|-42.80
2006-10-15|23:00:00|body disposal tarp|Camping World|-25.00
2006-10-16|10:00:00|crime scene camera batteries|Best Buy|-16.40
2006-10-17|01:00:00|motel room (surveillance)|Sunset Inn|-68.00
2006-10-18|08:45:00|latex gloves|Medical Supply Co|-18.60
2006-10-19|20:00:00|ice cream with Astor & Cody|Sweet Treats|-12.75
2006-10-20|11:30:00|plastic sheeting|Home Depot|-22.00
2006-10-21|14:15:00|coffee & pastries|Miami Metro Cafeteria|-8.00
2006-10-22|19:00:00|boat maintenance|Harbor Station 3|-150.00
2006-10-23|02:30:00|rubber gloves|Ace Hardware|-10.50
2006-10-24|09:00:00|blood analysis kit|Miami Metro|0.00
2006-10-25|18:00:00|dinner with Rita|Ocean Grill|-55.00
2006-10-26|21:00:00|rental equipment|Midnight Auto|-80.00
2006-10-27|07:00:00|disinfectant supplies|Ace Hardware|-27.30
2006-10-28|14:00:00|crime scene tape|Miami Metro|0.00
2006-10-29|03:00:00|knife replacement|Quiet Edge|-20.00
2006-10-30|09:00:00|therapy session with Dr. Meridian|Downtown Clinic|-150.00
2006-10-31|22:00:00|Halloween decorations|Party City|-40.00
2006-11-01|08:30:00|coffee & donuts|Miami Metro Cafeteria|-7.50
2006-11-02|19:45:00|boat fuel|Harbor Station 3|-90.00
2006-11-03|02:00:00|trash bags & duct tape|Walmart|-25.00
2006-11-04|09:00:00|microscope supplies|Forensics Lab|0.00
2006-11-05|18:00:00|steak dinner with Deb|Ocean Grill|-60.00
2006-11-06|00:30:00|rental van|Midnight Auto|-130.00
2006-11-07|07:15:00|gloves & bleach|Ace Hardware|-35.00
2006-11-08|14:00:00|blood spatter analysis tools|Miami Metro|0.00
2006-11-09|03:30:00|knife sharpening service|Quiet Edge|-18.00
2006-11-10|09:00:00|therapy session with Dr. Meridian|Downtown Clinic|-150.00
2006-11-11|21:30:00|gas station snacks (stakeout)|Shell|-14.00
2006-11-12|04:00:00|deep ocean fuel|Marina Fuel Co|-100.00
2006-11-13|08:30:00|DNA test processing|Miami Metro|0.00
2006-11-14|18:00:00|dinner with Rita & kids|Family Pizza|-50.00
2006-11-15|23:00:00|body disposal tarp|Camping World|-28.00
2006-11-16|10:30:00|crime scene camera batteries|Best Buy|-18.00
2006-11-17|01:00:00|motel room (surveillance)|Sunset Inn|-70.00
2006-11-18|08:45:00|latex gloves|Medical Supply Co|-20.00
2006-11-19|20:00:00|ice cream with Astor & Cody|Sweet Treats|-15.00
2006-11-20|11:30:00|plastic sheeting|Home Depot|-24.00
2006-11-21|14:15:00|coffee & pastries|Miami Metro Cafeteria|-9.00
2006-11-22|19:00:00|boat maintenance|Harbor Station 3|-160.00
2006-11-23|02:30:00|rubber gloves|Ace Hardware|-12.00
2006-11-24|09:00:00|blood analysis kit|Miami Metro|0.00
2006-11-25|18:00:00|dinner with Rita|Ocean Grill|-65.00
